metric,eligible_state_clusters,mean_base_to_donor_ncte,mean_donor_to_base_ncte,mean_symmetric_ncte,symmetric_ci95_low,symmetric_ci95_high,mean_directional_asymmetry,asymmetry_ci95_low,asymmetry_ci95_high,positive_state_fraction,p_two_sided_sign_flip,q_bh_within_metric_family,sign_flip_exact,flow_step,layer,action_position
all,15,8.367485757145313e-06,-1.8224691760813403e-05,-4.928603001834041e-06,-0.00010313862761108913,9.420447907859278e-05,0.00017303423221157757,9.235080905398648e-05,0.00026162783760754133,0.5333333333333333,0.9251708984375,0.9428493232484076,True,0,0,0
all,15,-9.187991821492444e-05,-5.593485001868327e-06,-4.8736701608396376e-05,-0.00012116250200294673,1.8231332462969368e-05,0.00022616626132127498,0.000168965952988206,0.0002851061483793127,0.5333333333333333,0.21075439453125,0.25164703824626866,True,0,0,1
all,15,-6.418876641397776e-05,-0.0001196016805958351,-9.189522350490641e-05,-0.00019543548160956501,1.290698131466548e-05,0.0003094170541884156,0.00021591128427086499,0.0004125576000916273,0.3333333333333333,0.11669921875,0.14362980769230768,True,0,0,2
all,15,-9.042896918794485e-05,-0.00012524280110243907,-0.00010783588514519196,-0.0002049011410954086,-1.3700552862340982e-05,0.000184002528359457,0.0001257739995979287,0.00024228877508928974,0.26666666666666666,0.05047607421875,0.06565993394308943,True,0,0,3
all,15,-5.015970616779718e-05,-3.400424749081194e-05,-4.208197682930456e-05,-0.00013168809682425952,3.907770249086225e-05,0.0002702640237181999,0.0001793036655115185,0.000364684686098419,0.4,0.40277099609375,0.45520191461267606,True,0,0,4
all,15,-0.0001105126682841585,-3.735446338196637e-05,-7.393356583306244e-05,-0.00015949855751330803,7.4155882830538e-06,0.0002136674955753055,0.00014961964030467807,0.0002891116110263075,0.3333333333333333,0.124267578125,0.15177719465648856,True,0,0,5
all,15,1.010383063188808e-05,5.771602369527461e-06,7.937716500707766e-06,-8.603031783285633e-05,0.00010208249466003163,0.00019695529004892695,0.00013440482525775487,0.0002682963286044623,0.6,0.870849609375,0.8989415322580645,True,0,0,6
all,15,-0.0001277114161261463,-5.69762626993621e-05,-9.234383941275421e-05,-0.00018394056979012288,-4.710551764433871e-06,0.00018562133120117748,0.00012188585500496569,0.00024638148374147596,0.4,0.07147216796875,0.09004367618110236,True,0,0,7
all,15,-1.3327137768877986e-05,-1.8547908582010573e-05,-1.593752317544428e-05,-9.128256755427709e-05,6.895699760100542e-05,0.00019217609701024536,0.00012156890352901005,0.00027420939924961083,0.26666666666666666,0.71307373046875,0.7606119791666667,True,0,0,8
all,15,1.6888712913417693e-05,-6.723754065453817e-05,-2.5174413870560236e-05,-0.0001062286088731008,5.844797819577886e-05,0.0002836073682954278,0.000177218393461004,0.00039142406347994924,0.4,0.57684326171875,0.6365167025862069,True,0,0,9
all,15,-5.591703824644786e-05,-5.3829945301666916e-05,-5.4873491774057384e-05,-0.00015043678973083774,5.376183622532346e-05,0.00030436813789612205,0.00021768213908696302,0.00039626433900391637,0.4,0.322998046875,0.3717963129496403,True,0,8,0
all,15,-9.029438262391572e-07,3.4857485966640425e-05,1.6977271070200635e-05,-7.944176607720863e-05,0.00011111339962456353,0.0002301682768583394,0.00017042511814292246,0.0002897432172457483,0.6,0.74334716796875,0.782470703125,True,0,8,1
all,15,-9.481330306774511e-05,0.000139890299625549,2.2538498278901948e-05,-7.090609649086687e-05,0.00011200579097210884,0.0002852189846584674,0.00019154893267055883,0.0003846965295348826,0.6666666666666666,0.642333984375,0.703927654109589,True,0,8,2
all,15,-3.2051034419498124e-05,-7.251497815984438e-06,-1.9651266117741283e-05,-0.00010269344935336173,6.383170171906402e-05,0.000283785379606228,0.00020276085124827723,0.00037921055751395796,0.4,0.65985107421875,0.7182052508503401,True,0,8,3
all,15,-1.3360765450832788e-05,5.4351648355619886e-05,2.0495441452393554e-05,-7.975874134748819e-05,0.00012943822118419612,0.0003676508963597287,0.00023218215260037062,0.0005677952974955428,0.4666666666666667,0.71136474609375,0.7606119791666667,True,0,8,4
all,15,-2.2220874081579784e-05,2.7653466643135192e-05,2.7162962807777107e-06,-7.271344666183845e-05,7.722689417695532e-05,0.00022006395557150303,0.00012531124986669276,0.0003336846843297813,0.4666666666666667,0.94818115234375,0.95367431640625,True,0,8,5
all,15,-4.177535587921316e-05,4.981391151386131e-05,4.019277817324066e-06,-8.465656282601691e-05,0.00010085050831029727,0.00022920679101313477,0.00016416586815101334,0.0003072923310746443,0.5333333333333333,0.93585205078125,0.9476982792721519,True,0,8,6
all,15,-3.0483609252633833e-05,-5.0276304304712645e-05,-4.037995677867323e-05,-0.00012938974641624773,4.2860111307074166e-05,0.0001454317374711863,9.064289198607131e-05,0.00020205104040333275,0.4666666666666667,0.39202880859375,0.44803292410714285,True,0,8,7
all,15,1.0943041063386647e-05,-2.1596673624699947e-05,-5.326816280656647e-06,-5.413381863042581e-05,4.556679781191002e-05,0.00023601733991314184,0.0001482323066555735,0.00034123317089679317,0.4,0.84185791015625,0.8746575689935064,True,0,8,8
all,15,-2.8184363607662177e-06,-2.551113559455179e-05,-1.4164785977658998e-05,-9.96185273857878e-05,6.443667057174676e-05,0.00021979040499102022,0.00015622442312086826,0.0002907029884446855,0.5333333333333333,0.7530517578125,0.7875051062091504,True,0,8,9
all,15,-8.121613031506302e-05,4.242543416095174e-05,-1.9395348077055636e-05,-0.0001137499059092862,8.710099863463689e-05,0.0003435324059983326,0.00025943586982685033,0.0004321925412417083,0.3333333333333333,0.72747802734375,0.7708376448675497,True,0,14,0
all,15,-7.04510551460414e-06,0.00018761624102103298,9.028556775321442e-05,-4.028207697463806e-05,0.00021928349881118712,0.00033195663397983364,0.0001845873703231789,0.0004962023853726855,0.6,0.20599365234375,0.24781191259398497,True,0,14,1
all,15,0.00020786740436788364,0.0005468401610801641,0.00037735378272402386,0.00024306808462892023,0.0005321021416929045,0.00047760425213825273,0.0002781157807793794,0.0006955554779525126,1.0,6.103515625e-05,9.765625e-05,True,0,14,2
